url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
sibear,西伯利亚冰锤,30,35,35,39,39,35.6
sigma_and_octantis,西格玛 & 南极座,8,10,16,25,50,21.8
silva_and_aegis,席瓦 & 神盾,10,14,15,15,15,13.8
skiajati,影生,25,30,30,30,35,30.0
sydon,恶龙,10,18,20,20,20,17.6
tekko,铁钩手甲,15,15,20,25,30,21.0
tipedo,提佩多,9,10,10,10,14,10.6
tonbo,蜻蛉薙,9,9,10,10,10,9.6
twin_basolk,双子巴萨克,10,10,15,15,20,14.0
amprex,安培克斯,15,15,20,25,30,21.0
burston,伯斯顿,190,190,190,198,199,193.4
buzlok,巴兹火枪,19,20,20,30,40,25.8
cernos,西诺斯,5,10,15,15,19,12.8
convectrix,导热聚焦枪,14,19,20,25,30,21.6
daikyu,大久和弓,10,10,15,15,20,14.0
dera,德拉,25,35,35,48,50,38.6
drakgoon,龙骑兵,1,12,15,15,15,11.6
dread,恐惧,68,70,70,75,75,71.6
glaxion,冷冻光束步枪,55,69,70,70,70,66.8
gorgon,蛇发女妖,10,24,25,25,30,22.8
grakata,葛拉卡达,20,30,50,100,100,60.0
grinlok,葛恩火枪,8,10,10,10,10,9.6
seer,预言者,20,20,25,30,40,27.0
zakti,毒芽,7,10,10,19,20,13.2
cyath,西亚什,7,10,10,10,10,9.4
dark_split_sword_(dual_swords),暗黑分合剑,10,12,15,15,18,14.0
krohkur,克鲁古尔,10,10,15,15,15,13.0
kronen,皇家拐刃,25,30,30,38,40,32.6
lacera,悲痛之刃,20,30,30,48,50,35.6
lesion,病变,15,15,20,20,25,19.0
venka,凯旋之爪,20,20,30,35,49,30.8
volnus,创伤,15,20,25,30,30,24.0
zenistar,天顶之星,15,19,20,25,25,20.8
deconstructor,分离,40,50,65,86,90,66.2
sweeper,扫除者,20,20,25,25,25,23.0
rattleguts,响胆,10,15,22,30,45,24.4
wolf_sledge,恶狼战锤,25,35,35,35,35,33.0
quellor,压制者,15,20,20,20,25,20.0
basmu,巴什穆,5,20,20,20,30,19.0
stahlta,钢刃步枪,1,50,50,55,60,43.2
velox,逐电,10,20,50,50,50,36.0
helstrum,赫尔斯壮,1,40,40,45,45,34.2
xoris,驱魔之刃,40,44,45,45,48,44.4
athodai,阿索代,20,20,20,30,30,24.0
sepulcrum,追击者,20,30,30,35,39,30.8
quassus,威震武扇,20,30,30,55,100,47.0
trumna,灭杀者,20,25,25,25,30,25.0
zymos,邪莫斯,20,30,40,50,50,38.0
keratinos,卡提努之爪,60,60,70,90,100,76.0
mausolon,惩戒者,119,130,150,200,250,169.8
cedo,塞多,20,25,27,30,30,26.4
verglas,冰凇,600,700,700,750,770,704.0
epitaph,葬铭,80,90,90,100,100,92.0
tenet_envoy,信条·典客,10,26,45,50,50,36.2
tenet_spirex,信条·斯派克斯,10,15,15,15,15,14.0
kompressa,卡帕压力枪,65,78,78,78,80,75.8
tenet_exec,信条·枢密,97,98,100,100,100,99.0
tenet_grigori,信条·格里高利,19,20,20,25,29,22.6
ambassador,使节,10,10,15,20,20,15.0
cadus,卡德斯,9,15,15,15,15,13.8
tenet_livia,信条·莉薇娅,15,20,20,25,30,22.0
tenet_diplos,信条·纵横双枪,38,40,40,40,50,41.6
tenet_agendus,信条·集议,20,20,20,30,70,32.0
lacerten,莱斯腾,30,45,50,50,55,46.0
akaten,阿卡腾,70,70,90,280,300,162.0
batoten,巴托腾,100,120,600,0,0,273.3333333333333
vastilok,瓦斯提枪刃,20,25,30,30,35,28.0
ghoulsaw,尸鬼电锯,20,20,30,40,50,32.0
verdilac,蝰首骨妖,20,20,20,50,50,32.0
nepheri,赤炎流星,30,40,49,50,90,51.8
rumblejack,电匕怪杰,11,20,28,30,40,25.8
korumm,雷霆暴君,19,40,40,100,100,59.8
venato,脉纹,10,10,15,20,20,15.0
nataruk,太始弓,22,22,25,25,30,24.8
hespar,暮斩,25,25,29,35,35,29.8
alternox,电幻步枪,10,15,20,20,29,18.8
aeolak,风鸣,25,30,30,30,40,31.0
phenmor,凤殁,50,50,50,70,70,58.0
laetum,奏凯,100,110,110,119,120,111.8
praedos,双雄,35,38,38,40,40,38.2
innodem,清刚,37,38,38,40,40,38.6
felarx,逐枭,50,60,60,60,60,58.0
vericres,真月武扇,5,10,10,15,20,12.0
slaytra,屠煞,10,20,20,20,25,19.0
aegrit,骇敌榴弹,15,15,20,50,50,30.0
afentis,圣英,10,10,10,10,15,11.0
sarofang,沙罗之牙,10,13,20,20,21,16.8
perigale,月面狂风,15,15,15,20,20,17.0
corufell,闪劫,30,30,30,45,50,37.0
steflos,石晶之花,5,5,5,10,15,8.0
sampotes,三宝聚,50,50,50,55,55,52.0
azothane,溶灵尊,20,29,30,40,50,33.8
syam,业珀,60,60,65,70,70,65.0
cinta,遂心,10,10,15,19,20,14.8
sun_and_moon,赤阳 & 幽月,28,45,50,50,50,44.6
edun,雷石祭,20,25,25,25,30,25.0
rauta,锐铁,10,20,20,25,25,20.0
argo_and_vel,星舟 & 帆,15,20,20,30,30,23.0
gotva_prime,骨葬 Prime,25,25,25,30,35,28.0
dorrclave,怒斩,29,40,40,40,45,38.8
ekhein,映声战锤,10,19,20,50,50,29.8
mandonel,辐光弩炮,45,50,50,80,100,65.0
grimoire,Grimoire,30,35,35,40,40,36.0
onos,赘骨,25,30,40,55,60,42.0
ruvox,古声,10,18,40,50,50,33.6
